command_id,lut_row_index,rpm_mech,T_ref_Nm,Id_ref_A,Iq_ref_A,status,omega_e_rad_s,pole_pairs,flux_scale,v_max_v,rs_ohm,needs_fem
lut_audit_000,9,0.0,0.734694,-0.345865,0.120301,mtpa,0.0,2,11.861254825070445,179.55593371797363,2.15938,True
lut_audit_001,112,203.389831,0.979592,-0.466165,0.150376,mtpa,42.59786659229797,2,11.861254825070445,179.55593371797363,2.15938,True
lut_audit_002,337,610.169492,3.020408,-1.413534,0.511278,mtpa,127.79359956745441,2,11.861254825070445,179.55593371797363,2.15938,True
lut_audit_003,421,813.559322,1.714286,-0.781955,0.345865,mtpa,170.39146595031286,2,11.861254825070445,179.55593371797363,2.15938,True
lut_audit_004,517,1016.949153,1.387755,-0.631579,0.285714,mtpa,212.98933254261084,2,11.861254825070445,179.55593371797363,2.15938,True
lut_audit_005,594,1118.644068,3.591837,-1.684211,0.601504,mtpa,234.2882657340401,2,11.861254825070445,179.55593371797363,2.15938,True
lut_audit_006,610,1220.338983,0.816327,-0.390977,0.120301,mtpa,255.58719892546932,2,11.861254825070445,179.55593371797363,2.15938,True
lut_audit_007,682,1322.033898,2.612245,-1.203008,0.496241,mtpa,276.88613211689847,2,11.861254825070445,179.55593371797363,2.15938,True
lut_audit_008,1168,2338.983051,1.469388,nan,nan,infeasible,489.8754646595094,2,11.861254825070445,179.55593371797363,2.15938,False
lut_audit_009,1271,2542.372881,1.714286,nan,nan,infeasible,532.4733310423677,2,11.861254825070445,179.55593371797363,2.15938,False
