name,fit_seconds,train_rmse_phi_d,train_rmse_phi_q,train_r2_mean,val_rmse_phi_d,val_rmse_phi_q,val_r2_mean,test_rmse_phi_d,test_rmse_phi_q,test_r2_mean
linear,0.003,0.0026666678141674407,0.009786917357194941,0.9637630770604926,0.002567836558804054,0.009546353478796957,0.9624709301770502,0.0025198188392456912,0.009021767591011792,0.9646832311956653
poly_deg2,0.0,0.0013437363835792809,0.005651444815667157,0.9892613428032784,0.0012730057790104634,0.0049873066703746425,0.9902248201063399,0.0012906152109737146,0.005439408579458731,0.98890144453654
poly_deg3,0.001,0.0008091852896234721,0.0033928871415401973,0.9961200137972328,0.0006823390541815967,0.002706262181161493,0.9971519602544809,0.0007561955302748867,0.003227393270111559,0.9961322364053796
poly_deg4,0.001,0.000639675943691015,0.002486047213986629,0.9977798670419408,0.0005903146521418965,0.0019949462558966854,0.9982030503782789,0.0006599898269597129,0.002463646583432237,0.9974690087231322
rbf_linear,0.007,0.0003816201637650806,0.001537247548286309,0.999176840448567,0.0003278926935623342,0.0011873190312114343,0.9994050641149577,0.00041145431108275554,0.001674270998955448,0.9989173965750864
gaussian_process,43.158,0.000125310968974501,0.00028100388890646015,0.9999467336563863,0.00017155963284803545,0.00045532148376442155,0.9998769355768333,0.0002132874671144461,0.0002971749476005601,0.9998571551444081
random_forest,0.672,0.0003020801394887104,0.0011213204589449475,0.999529297445578,0.00040514320213582523,0.0016552511810998037,0.9989607534435869,0.0004839360010130562,0.0019857972172793214,0.9984877708191916
gradient_boosting,7.865,0.0002444310429684406,0.0009484399396720981,0.9996764136167471,0.0003938943522346137,0.001507924438520201,0.9990880826040776,0.0004236833254607593,0.0012346619984245082,0.9991744961489059
mlp_small,8.169,0.00022428437641113872,0.0004972044879899867,0.9998305223894333,0.0002799286673330292,0.0005632082336209953,0.9997246755820961,0.0002499876882567147,0.00046120374234903677,0.9997834173999606
mlp_medium,3.172,0.00041610733428928086,0.0013825209731425949,0.9992026210937665,0.0003908720029795632,0.0013207087485844265,0.9992122947700313,0.0003589185475731126,0.0014499743705005614,0.9991830254346564
mlp_large,2.844,0.0005461365177414824,0.0015927014793323657,0.99877897193618,0.0004321438360674995,0.0015209843241329505,0.9989967570208601,0.00042240701736914385,0.0016862788995407867,0.9988836809739673
mlp_phys_features,5.421,0.00038387436634329145,0.001162561541585588,0.9993769082773596,0.0004531100360510653,0.0013921287087392703,0.9990319424105171,0.0004024488475016865,0.0011509817684064695,0.999266449499052
