rpm,T_max_fw_Nm,Id_A,Iq_A,Is_norm_A,V_norm_V
0.000000,12.890424,-4.603774,3.849057,6.000831,12.958074
101.694915,12.890424,-4.603774,3.849057,6.000831,28.800397
203.389831,12.890424,-4.603774,3.849057,6.000831,44.984806
305.084746,12.890424,-4.603774,3.849057,6.000831,61.240685
406.779661,12.890424,-4.603774,3.849057,6.000831,77.523086
508.474576,12.890424,-4.603774,3.849057,6.000831,93.818202
610.169492,12.890424,-4.603774,3.849057,6.000831,110.120388
711.864407,12.890424,-4.603774,3.849057,6.000831,126.426910
813.559322,12.890424,-4.603774,3.849057,6.000831,142.736281
915.254237,12.890424,-4.603774,3.849057,6.000831,159.047625
1016.949153,12.890424,-4.603774,3.849057,6.000831,175.360392
1118.644068,11.462754,-5.660377,2.000000,6.003322,162.094433
1220.338983,11.462754,-5.660377,2.000000,6.003322,175.651899
1322.033898,3.081318,-1.622642,0.264151,1.644002,179.732806
1423.728814,nan,nan,nan,nan,nan
1525.423729,nan,nan,nan,nan,nan
1627.118644,nan,nan,nan,nan,nan
1728.813559,nan,nan,nan,nan,nan
1830.508475,nan,nan,nan,nan,nan
1932.203390,nan,nan,nan,nan,nan
2033.898305,nan,nan,nan,nan,nan
2135.593220,nan,nan,nan,nan,nan
2237.288136,nan,nan,nan,nan,nan
2338.983051,nan,nan,nan,nan,nan
2440.677966,nan,nan,nan,nan,nan
2542.372881,nan,nan,nan,nan,nan
2644.067797,nan,nan,nan,nan,nan
2745.762712,nan,nan,nan,nan,nan
2847.457627,nan,nan,nan,nan,nan
2949.152542,nan,nan,nan,nan,nan
3050.847458,nan,nan,nan,nan,nan
3152.542373,nan,nan,nan,nan,nan
3254.237288,nan,nan,nan,nan,nan
3355.932203,nan,nan,nan,nan,nan
3457.627119,nan,nan,nan,nan,nan
3559.322034,nan,nan,nan,nan,nan
3661.016949,nan,nan,nan,nan,nan
3762.711864,nan,nan,nan,nan,nan
3864.406780,nan,nan,nan,nan,nan
3966.101695,nan,nan,nan,nan,nan
4067.796610,nan,nan,nan,nan,nan
4169.491525,nan,nan,nan,nan,nan
4271.186441,nan,nan,nan,nan,nan
4372.881356,nan,nan,nan,nan,nan
4474.576271,nan,nan,nan,nan,nan
4576.271186,nan,nan,nan,nan,nan
4677.966102,nan,nan,nan,nan,nan
4779.661017,nan,nan,nan,nan,nan
4881.355932,nan,nan,nan,nan,nan
4983.050847,nan,nan,nan,nan,nan
5084.745763,nan,nan,nan,nan,nan
5186.440678,nan,nan,nan,nan,nan
5288.135593,nan,nan,nan,nan,nan
5389.830508,nan,nan,nan,nan,nan
5491.525424,nan,nan,nan,nan,nan
5593.220339,nan,nan,nan,nan,nan
5694.915254,nan,nan,nan,nan,nan
5796.610169,nan,nan,nan,nan,nan
5898.305085,nan,nan,nan,nan,nan
6000.000000,nan,nan,nan,nan,nan
