T_ref_Nm,Id_A,Iq_A,Is_norm_A
0.000000,0.000000,0.000000,0.000000
0.081633,-0.045113,0.000000,0.045113
0.163265,-0.075188,0.041735,0.085994
0.244898,-0.120301,0.030075,0.124003
0.326531,-0.165414,0.030075,0.168125
0.408163,-0.195489,0.060150,0.204533
0.489796,-0.240602,0.060150,0.248006
0.571429,-0.270677,0.090226,0.285318
0.653061,-0.315789,0.090226,0.328426
0.734694,-0.345865,0.120301,0.366189
0.816327,-0.390977,0.120301,0.409067
0.897959,-0.421053,0.150376,0.447100
0.979592,-0.466165,0.150376,0.489819
1.061224,-0.496241,0.180451,0.528032
1.142857,-0.541353,0.180451,0.570637
1.224490,-0.556391,0.255639,0.612309
1.306122,-0.616541,0.210526,0.651494
1.387755,-0.631579,0.285714,0.693199
1.469388,-0.691729,0.240602,0.732379
1.551020,-0.706767,0.315789,0.774108
1.632653,-0.766917,0.270677,0.813282
1.714286,-0.781955,0.345865,0.855030
1.795918,-0.842105,0.300752,0.894200
1.877551,-0.857143,0.375940,0.935962
1.959184,-0.917293,0.330827,0.975127
2.040816,-0.962406,0.330827,1.017680
2.122449,-0.992481,0.360902,1.056063
2.204082,-1.037594,0.360902,1.098568
2.285714,-1.052632,0.436090,1.139389
2.367347,-1.112782,0.390977,1.179469
2.448980,-1.127820,0.466165,1.220364
2.530612,-1.187970,0.421053,1.260380
2.612245,-1.203008,0.496241,1.301338
2.693878,-1.263158,0.451128,1.341299
2.775510,-1.278195,0.526316,1.382314
2.857143,-1.338346,0.481203,1.422226
2.938776,-1.353383,0.556391,1.463290
3.020408,-1.413534,0.511278,1.503158
3.102041,-1.428571,0.586466,1.544266
3.183673,-1.488722,0.541353,1.584095
3.265306,-1.548872,0.496241,1.626425
3.346939,-1.548872,0.616541,1.667072
3.428571,-1.624060,0.526316,1.707214
3.510204,-1.624060,0.646617,1.748052
3.591837,-1.684211,0.601504,1.788399
3.673469,-1.699248,0.676692,1.829031
3.755102,-1.759398,0.631579,1.869325
3.836735,-1.774436,0.706767,1.910011
3.918367,-1.834586,0.661654,1.950255
4.000000,-1.849624,0.736842,1.990991
